# buoy ID | latitude | longitude | type           | anemometer height | air temp height | barometer height | sst depth
46005     | 46.134   | -131.079  | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
46006     | 40.764   | -137.377  | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
46011     | 34.936   | -120.998  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46012     | 37.356   | -122.881  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46013     | 38.235   | -123.317  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46014     | 39.231   | -123.974  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46015     | 42.752   | -124.844  | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
46022     | 40.748   | -124.527  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46025     | 33.755   | -119.045  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46026     | 37.754   | -122.839  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46027     | 41.84    | -124.382  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46028     | 35.77    | -121.903  | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
46029     | 46.163   | -124.487  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46035     | 57.016   | -177.703  | OCEAN_BUOY     | 5.0               | 4.5             | 0.5              | 0.4
46041     | 47.352   | -124.739  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46042     | 36.785   | -122.396  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46047     | 32.388   | -119.525  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46050     | 44.669   | -124.546  | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
46053     | 34.241   | -119.839  | OCEAN_BUOY     | 3.2               | 2.8             | 1.8              | 1.1
46054     | 34.274   | -120.468  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46059     | 38.053   | -129.967  | OCEAN_BUOY     | 3.7               | 3.7             | 3.7              | 1.5
46060     | 60.586   | -146.787  | OCEAN_BUOY     | 4.9               | 4.4             | 0.3              | 0.6
